Point,Latitude_x,Longitude_y,Window_start,Window_end,Demand_text,Demand_m3,Service_min,Start_min,End_min,Window_length_min
0,34.045903,71.532091,8:00,12:00,2m3,2.0,46,480,720,240
1,34.00333,71.46727,8:00,13:30,2m3,2.0,60,480,810,330
2,33.999504,71.469066,8:00,16:00,2m3,2.0,51,480,960,480
3,34.00073,71.468739,8:00,12:00,2m3,2.0,60,480,720,240
4,34.00073,71.468731,8:00,13:30,2m3,2.0,56,480,810,330
5,33.99954,71.47014,8:00,16:00,2m3,2.0,51,480,960,480
6,34.00497,71.49059,8:00,12:00,2m3,2.0,47,480,720,240
7,34.00164,71.49126,8:00,13:30,2m3,2.0,51,480,810,330
8,34.003,71.4929,8:00,16:00,2m3,2.0,46,480,960,480
9,34.00488,71.49536,8:00,12:00,2m3,2.0,60,480,720,240
10,34.00484,71.4966,8:00,13:30,2m3,2.0,53,480,810,330
11,34.00243,71.49494,8:00,16:00,2m3,2.0,56,480,960,480
12,34.0099,71.51991,8:00,12:00,2m3,2.0,59,480,720,240
13,34.010696,71.520983,8:00,13:30,2m3,2.0,57,480,810,330
14,34.013037,71.525471,8:00,16:00,2m3,2.0,60,480,960,480
15,34.008249,71.519407,8:00,12:00,2m3,2.0,46,480,720,240
16,34.013067,71.504997,8:00,13:30,2m3,2.0,57,480,810,330
17,34.009598,71.510711,8:00,16:00,2m3,2.0,48,480,960,480
18,34.008798,71.515354,8:00,12:00,2m3,2.0,58,480,720,240
19,34.01092,71.51756,8:00,13:30,2m3,2.0,52,480,810,330
20,34.01575,71.52402,8:00,16:00,2m3,2.0,45,480,960,480
21,34.009,71.51865,8:00,12:00,2m3,2.0,52,480,720,240
22,34.01314,71.5137262,8:00,13:30,2m3,2.0,58,480,810,330
23,34.01102,71.50221,8:00,16:00,2m3,2.0,49,480,960,480
24,34.01001,71.508988,8:00,12:00,2m3,2.0,60,480,720,240
25,34.01286,71.503007,8:00,13:30,2m3,2.0,48,480,810,330
26,34.017539,71.498173,8:00,16:00,2m3,2.0,48,480,960,480
27,34.005427,71.50145,8:00,12:00,2m3,2.0,47,480,720,240
28,34.015735,71.493051,8:00,13:30,2m3,2.0,49,480,810,330
29,34.01176,71.5022,8:00,16:00,2m3,2.0,53,480,960,480
30,34.00565,71.49718,8:00,12:00,2m3,2.0,54,480,720,240
31,34.00373,71.50043,8:00,13:30,2m3,2.0,60,480,810,330
32,34.01936,71.49216,8:00,16:00,2m3,2.0,53,480,960,480
33,34.023327,71.492933,8:00,12:00,2m3,2.0,60,480,720,240
34,34.023323,71.485849,8:00,13:30,2m3,2.0,60,480,810,330
35,34.031121,71.488446,8:00,16:00,2m3,2.0,45,480,960,480
36,34.019097,71.492207,8:00,12:00,2m3,2.0,47,480,720,240
