instance,algo,seed,phi,nv,dist,fuel,emis,IF,plow,pmed,phigh,lam,runtime,iters,error
C101,GLS,1,"(1.0, 1.0, 1.0)",10,828.936866942834,271.67425681725535,706.353067724864,0.3277381760316746,63.99835200971797,30.358308915234314,5.6433390750477095,0.425793920105582,30.068413257598877,228,
C101,GLS,1,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551035,636.2553321423269,0.2952137841184793,70.39556721263418,29.60443278736582,0.0,0.42579392010558187,30.1372127532959,202,
C101,GLS,3,"(0.75, 1.0, 1.3)",10,852.9482006279469,225.59139946544184,586.5376386101487,0.26448429025274894,78.4562696009334,21.543730399066604,0.0,0.414442013586723,30.044167041778564,215,
C101,GLS,2,"(0.85, 1.0, 1.18)",10,833.2427178513223,247.80736036091864,644.2991369383885,0.2974011714137003,65.60028575837988,34.39971424162014,0.0,0.428001593932215,30.089179754257202,225,
C101,GLS,2,"(0.93, 1.0, 1.09)",10,849.708800425092,265.51655520459565,690.3430435319488,0.31247946952151506,71.11927550932536,28.880724490674652,0.0,0.42580987299525697,30.124685049057007,227,
C101,GLS,1,"(0.75, 1.0, 1.3)",10,852.9482006279468,225.59139946544187,586.5376386101489,0.264484290252749,78.45626960093341,21.543730399066604,0.0,0.41444201358672317,30.236200094223022,215,
C101,GLS,2,"(1.0, 1.0, 1.0)",10,828.936866942834,271.67425681725535,706.353067724864,0.3277381760316746,63.998352009717976,30.35830891523432,5.64333907504771,0.425793920105582,30.237202644348145,205,
C101,GLS,3,"(0.93, 1.0, 1.09)",10,828.9368669428338,259.0926119691077,673.64079111968,0.3125601264721835,70.39556721263416,29.60443278736583,0.0,0.4257939201055819,30.17620539665222,214,
C101,GLS,3,"(1.0, 1.0, 1.0)",10,833.2427178513224,273.6373069820976,711.4569981534537,0.32840047817966456,63.58432826381165,24.74873712764215,11.6669346085462,0.4280015939322152,30.209202527999878,227,
C101,GLS,1,"(0.93, 1.0, 1.09)",10,828.936866942834,259.0926119691077,673.64079111968,0.31256012647218345,70.39556721263416,29.604432787365823,0.0,0.4257939201055819,30.358754634857178,220,
C101,GLS,3,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551038,636.255332142327,0.2952137841184793,70.39556721263416,29.604432787365827,0.0,0.42579392010558187,30.228442430496216,255,
C101,HGLS,1,"(0.93, 1.0, 1.09)",10,828.936866942834,259.0926119691077,673.64079111968,0.31256012647218345,70.39556721263416,29.604432787365823,0.0,0.4257939201055819,30.208566665649414,213,
C101,GLS,2,"(0.75, 1.0, 1.3)",10,852.9482006279468,225.59139946544184,586.5376386101487,0.26448429025274894,78.4562696009334,21.5437303990666,0.0,0.41444201358672295,30.406020402908325,225,
C101,HGLS,1,"(1.0, 1.0, 1.0)",10,828.9368669428338,271.67425681725535,706.353067724864,0.32773817603167466,63.99835200971797,30.358308915234314,5.6433390750477095,0.4257939201055819,30.521210432052612,219,
C101,HGLS,1,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551035,636.2553321423269,0.2952137841184793,70.39556721263416,29.604432787365816,0.0,0.42579392010558204,30.213630437850952,238,
C101,HGLS,2,"(0.93, 1.0, 1.09)",10,828.9368669428338,259.0926119691077,673.64079111968,0.3125601264721835,70.39556721263416,29.60443278736583,0.0,0.4257939201055819,30.138988733291626,251,
C101,HGLS,2,"(0.75, 1.0, 1.3)",10,852.9482006279469,225.59139946544184,586.5376386101487,0.26448429025274894,78.4562696009334,21.543730399066597,0.0,0.4144420135867231,30.08096671104431,208,
C101,HGLS,1,"(0.75, 1.0, 1.3)",10,850.8991452063741,228.5080929346266,594.1210416300291,0.26854897460169036,73.55880325998173,26.44119674001828,0.0,0.4198145144467132,30.203001976013184,219,
C101,HGLS,2,"(0.85, 1.0, 1.18)",10,828.9368669428338,244.71358928551038,636.255332142327,0.2952137841184793,70.39556721263419,29.604432787365823,0.0,0.42579392010558204,30.16748595237732,228,
C101,HGLS,3,"(1.0, 1.0, 1.0)",10,828.9368669428338,271.67425681725535,706.353067724864,0.32773817603167466,63.99835200971797,30.358308915234325,5.64333907504771,0.42579392010558204,30.129931211471558,201,
